compras values (7804, '01510441', '00124', '2011/10/24', null, 14, 382380, '029')
compras values (8753, '01510689', '25320', '2011/10/25', null, 21, 4365150, '029')
compras values (10124, '01511392', '25320', '2011/10/26', null, 21, 696000, '029')
compras values (10123, '01511393', '25320', '2011/10/26', null, 21, 4518310, '029')
compras values (15626, '01515577', '25320', '2011/11/03', null, 21, 1611840, '029')
compras values (16538, '01516587', '25320', '2011/11/04', null, 21, 308760, '029')
compras values (18800, '01518279', '25320', '2011/11/08', null, 19, 1683720, '029')
compras values (18799, '01518280', '25320', '2011/11/08', null, 20, 2299500, '029')
compras values (18798, '01518281', '25320', '2011/11/08', null, 21, 2453500, '029')
compras values (24955, '01522727', '25320', '2011/11/16', null, 21, 3204230, '029')
compras values (24954, '01523519', '25320', '2011/11/17', null, 21, 450000, '029')
compras values (28461, '01525971', '25320', '2011/11/22', null, 18, 4286950, '029')
compras values (28460, '01525982', '25320', '2011/11/22', null, 21, 3419560, '029')
compras values (31281, '01527953', '25320', '2011/11/25', null, 21, 888000, '029')
compras values (32581, '01528806', '25320', '2011/11/28', null, 18, 2196600, '029')
compras values (32580, '01528807', '25320', '2011/11/28', null, 21, 2120750, '029')
compras values (13723, '02514255', '25320', '2011/10/31', null, 21, 3882040, '029')
compras values (13722, '02514256', '25320', '2011/10/31', null, 21, 1651400, '029')
compras values (13721, '02514257', '25320', '2011/10/31', null, 21, 2543400, '029')
compras values (3919, '01506282', '25625', '2011/10/17', null, 14, 458060, '029')
compras values (8776, '01509894', '25625', '2011/10/24', null, 14, 263360, '029')
compras values (13746, '01513377', '25625', '2011/10/31', null, 14, 385340, '029')
compras values (17787, '01517449', '25625', '2011/11/07', null, 14, 561740, '029')
compras values (22847, '01521577', '25625', '2011/11/14', null, 14, 216040, '029')
compras values (27513, '01525141', '25625', '2011/11/21', null, 14, 214500, '029')
compras values (32596, '01529479', '25625', '2011/11/29', null, 14, 222040, '029')
compras values (4029, '01504019', '26071', '2011/10/12', null, 10, 324110, '029')
compras values (4028, '01504736', '26071', '2011/10/13', null, 10, 462630, '029')
compras values (4027, '01508145', '26071', '2011/10/20', null, 10, 563550, '029')
compras values (11521, '01511937', '26071', '2011/10/27', null, 10, 368950, '029')
compras values (11520, '01512992', '26071', '2011/10/30', null, 10, 107150, '029')
compras values (15660, '01515456', '26071', '2011/11/03', null, 10, 479700, '029')
compras values (20787, '01519736', '26071', '2011/11/10', null, 10, 233330, '029')
compras values (25016, '01523331', '26071', '2011/11/17', null, 10, 537850, '029')
compras values (28479, '01525735', '26071', '2011/11/22', null, 10, 113400, '029')
compras values (30270, '01527260', '26071', '2011/11/24', null, 10, 512800, '029')
compras values (17871, '01517447', '28239', '2011/11/07', null, 21, 464460, '029')
compras values (30341, '01527175', '28239', '2011/11/24', null, 21, 405570, '029')
compras values (32730, '01528774', '28239', '2011/11/28', null, 21, 951580, '029')
compras values (32746, '01528754', '28431', '2011/11/28', null, 14, 377630, '029')
compras values (31367, '01528255', '28745', '2011/11/27', null, 21, 946560, '029')
compras values (4682, '01503435', '28798', '2011/10/10', null, 12, 563200, '029')
compras values (4681, '01508013', '28798', '2011/10/19', null, 13, 649800, '029')
compras values (4680, '01508014', '28798', '2011/10/19', null, 14, 727050, '029')
compras values (27620, '01525658', '28798', '2011/11/21', null, 13, 953310, '029')
compras values (27619, '01525659', '28798', '2011/11/21', null, 14, 912030, '029')
compras values (30369, '01527788', '28798', '2011/11/24', null, 13, 733360, '029')
compras values (30368, '01527789', '28798', '2011/11/24', null, 14, 957600, '029')
compras values (32767, '01529240', '28798', '2011/11/28', null, 14, 1012270, '029')
compras values (4717, '05244637', '28904', '2011/10/12', null, 15, 309630, '029')
compras values (4716, '05245114', '28904', '2011/10/14', null, 15, 718030, '029')
compras values (4715, '05246162', '28904', '2011/10/20', null, 15, 663510, '029')
compras values (8967, '05246653', '28904', '2011/10/24', null, 15, 670740, '029')
compras values (10217, '05247174', '28904', '2011/10/26', null, 15, 823580, '029')
compras values (13999, '05248002', '28904', '2011/10/31', null, 15, 724450, '029')
compras values (18914, '05249497', '28904', '2011/11/08', null, 15, 647070, '029')
compras values (21739, '05250272', '28904', '2011/11/11', null, 15, 802390, '029')
compras values (25207, '05251092', '28904', '2011/11/16', null, 15, 629890, '029')
compras values (29408, '05252456', '28904', '2011/11/23', null, 15, 934810, '029')
compras values (32779, '05253402', '28904', '2011/11/29', null, 15, 978150, '029')
compras values (4779, '01509510', '29116', '2011/10/23', null, 10, 205650, '029')
compras values (4847, '01508178', '29237', '2011/10/20', null, 10, 190660, '029')
compras values (14056, '01513371', '29237', '2011/10/31', null, 10, 263370, '029')
compras values (20912, '01519758', '29237', '2011/11/10', null, 10, 229270, '029')
compras values (30394, '01527170', '29237', '2011/11/24', null, 10, 234910, '029')
compras values (4926, '01505750', '29515', '2011/10/14', null, 21, 680000, '029')
compras values (4925, '01508828', '29515', '2011/10/20', null, 21, 832800, '029')
compras values (14083, '01514660', '29515', '2011/11/01', null, 21, 1202580, '029')
compras values (17936, '01517983', '29515', '2011/11/07', null, 21, 396460, '029')
compras values (20925, '01520409', '29515', '2011/11/10', null, 21, 607990, '029')
compras values (23126, '01521788', '29515', '2011/11/14', null, 21, 1388210, '029')
compras values (26723, '01524470', '29515', '2011/11/18', null, 21, 549000, '029')
compras values (27664, '01525648', '29515', '2011/11/21', null, 21, 1314920, '029')
compras values (32840, '01529225', '29515', '2011/11/28', null, 21, 870350, '029')
compras values (14084, '02514373', '29515', '2011/10/31', null, 21, 1161000, '029')
compras values (4948, '01504700', '29607', '2011/10/13', null, 21, 521810, '029')
compras values (4947, '01506876', '29607', '2011/10/18', null, 21, 165000, '029')
compras values (4946, '01508172', '29607', '2011/10/20', null, 21, 283430, '029')
compras values (14093, '01513361', '29607', '2011/10/31', null, 21, 481040, '029')
compras values (15818, '01515521', '29607', '2011/11/03', null, 21, 445990, '029')
compras values (17098, '01516930', '29607', '2011/11/06', null, 21, 184240, '029')
compras values (19866, '01519015', '29607', '2011/11/09', null, 21, 460650, '029')
compras values (25279, '01522683', '29607', '2011/11/16', null, 21, 169490, '029')
compras values (27669, '01525126', '29607', '2011/11/21', null, 21, 275400, '029')
compras values (32846, '01529474', '29607', '2011/11/29', null, 21, 329130, '029')
compras values (32845, '01529475', '29607', '2011/11/29', null, 21, 424160, '029')
compras values (11782, '01511962', '29878', '2011/10/27', null, 21, 171640, '029')
compras values (17956, '01517443', '29878', '2011/11/07', null, 21, 433550, '029')
compras values (30429, '01527165', '29878', '2011/11/24', null, 21, 510490, '029')
compras values (32878, '01528771', '29878', '2011/11/28', null, 21, 1684150, '029')
compras values (9060, '01509738', '29879', '2011/10/24', null, 21, 424830, '029')
compras values (19877, '01518876', '29879', '2011/11/09', null, 21, 356960, '029')
compras values (5077, '01507317', '29922', '2011/10/18', null, 21, 1684170, '029')
compras values (30432, '01527745', '29922', '2011/11/24', null, 21, 1448900, '029')
compras values (32882, '01529936', '29922', '2011/11/29', null, 21, 1282750, '029')
compras values (14137, '02514315', '29922', '2011/10/31', null, 21, 537120, '029')
compras values (5170, '01502744', '30159', '2011/10/10', null, 21, 245610, '029')
compras values (5169, '01506279', '30159', '2011/10/17', null, 21, 174170, '029')
compras values (5168, '01509267', '30159', '2011/10/23', null, 21, 404020, '029')
compras values (9087, '01509885', '30159', '2011/10/24', null, 21, 232740, '029')
compras values (11816, '01512997', '30159', '2011/10/30', null, 21, 365980, '029')
compras values (15860, '01515529', '30159', '2011/11/03', null, 21, 274340, '029')
compras values (25338, '01523423', '30159', '2011/11/17', null, 21, 233500, '029')
compras values (27694, '01525133', '30159', '2011/11/21', null, 21, 178420, '029')
compras values (31441, '01528258', '30159', '2011/11/27', null, 21, 360060, '029')
compras values (14299, '01513385', '31271', '2011/10/31', null, 14, 647080, '029')
compras values (5577, '01506280', '31292', '2011/10/17', null, 10, 566980, '029')
compras values (5576, '01507614', '31292', '2011/10/19', null, 10, 124000, '029')
compras values (5575, '01509270', '31292', '2011/10/23', null, 10, 479270, '029')
compras values (9171, '01510631', '31292', '2011/10/25', null, 10, 573660, '029')
compras values (11922, '01512701', '31292', '2011/10/28', null, 10, 576560, '029')
compras values (14301, '01513372', '31292', '2011/10/31', null, 10, 310330, '029')
compras values (14300, '01514920', '31292', '2011/11/02', null, 10, 620040, '029')
compras values (15923, '01515534', '31292', '2011/11/03', null, 10, 704060, '029')
compras values (16654, '01516540', '31292', '2011/11/04', null, 10, 161680, '029')
compras values (17145, '01516933', '31292', '2011/11/06', null, 10, 494560, '029')
compras values (19020, '01518263', '31292', '2011/11/08', null, 10, 489720, '029')
compras values (21030, '01519759', '31292', '2011/11/10', null, 10, 607080, '029')
compras values (25449, '01522693', '31292', '2011/11/16', null, 10, 528960, '029')
compras values (25448, '01522695', '31292', '2011/11/16', null, 10, 486780, '029')
compras values (27735, '01525136', '31292', '2011/11/21', null, 10, 665970, '029')
compras values (30500, '01527171', '31292', '2011/11/24', null, 10, 647830, '029')
compras values (31485, '01527929', '31292', '2011/11/25', null, 10, 643740, '029')
compras values (11923, '01513206', '31314', '2011/10/30', null, 10, 415800, '029')
compras values (5649, '01508740', '31503', '2011/10/20', null, 15, 181720, '029')
compras values (18022, '01517930', '31503', '2011/11/07', null, 21, 844480, '029')
compras values (5657, '01509298', '31541', '2011/10/23', null, 10, 205650, '029')
compras values (5869, '01505903', '32020', '2011/10/16', null, 9, 1136880, '029')
compras values (5868, '01508214', '32020', '2011/10/20', null, 9, 753840, '029')
compras values (5867, '01508215', '32020', '2011/10/20', null, 9, 2331660, '029')
compras values (12001, '01513011', '32020', '2011/10/30', null, 10, 1117940, '029')
compras values (12000, '01513012', '32020', '2011/10/30', null, 10, 3229690, '029')
compras values (17167, '01516842', '32020', '2011/11/06', null, 10, 3555090, '029')
compras values (17166, '01516843', '32020', '2011/11/06', null, 10, 1217560, '029')
compras values (25536, '01522706', '32020', '2011/11/16', null, 9, 814600, '029')
compras values (25535, '01522707', '32020', '2011/11/16', null, 10, 1858280, '029')
compras values (29525, '01526456', '32020', '2011/11/23', null, 10, 2009900, '029')
compras values (29524, '01526457', '32020', '2011/11/23', null, 10, 531990, '029')
compras values (33046, '01529501', '32020', '2011/11/29', null, 10, 4000580, '029')
compras values (33045, '01529502', '32020', '2011/11/29', null, 10, 868140, '029')
compras values (6051, '01505235', '32313', '2011/10/13', null, 14, 526410, '029')
compras values (6050, '01505716', '32313', '2011/10/14', null, 14, 224000, '029')
compras values (6049, '01509112', '32313', '2011/10/21', null, 14, 285460, '029')
compras values (18083, '01517941', '32313', '2011/11/07', null, 14, 204900, '029')
compras values (20009, '01519479', '32313', '2011/11/09', null, 14, 352180, '029')
compras values (28723, '01526255', '32313', '2011/11/22', null, 14, 388380, '029')
compras values (31526, '01528163', '32313', '2011/11/25', null, 14, 233800, '029')
compras values (33092, '01529898', '32313', '2011/11/29', null, 14, 143130, '029')
compras values (14538, '01514724', '32730', '2011/11/01', null, 21, 403920, '029')
compras values (19113, '01518399', '32730', '2011/11/08', null, 21, 168000, '029')
compras values (23499, '01521654', '32730', '2011/11/14', null, 21, 278360, '029')
compras values (23498, '01521655', '32730', '2011/11/14', null, 21, 371390, '029')
compras values (23497, '01522086', '32730', '2011/11/15', null, 21, 462000, '029')
compras values (25643, '01523557', '32730', '2011/11/17', null, 21, 231550, '029')
compras values (27815, '01525254', '32730', '2011/11/21', null, 21, 661330, '029')
compras values (28751, '01525991', '32730', '2011/11/22', null, 21, 82800, '029')
compras values (6266, '01504709', '32749', '2011/10/13', null, 28, 509800, '029')
compras values (12093, '01511961', '32749', '2011/10/27', null, 28, 344500, '029')
compras values (16035, '01515531', '32749', '2011/11/03', null, 28, 1940400, '029')
compras values (16689, '01516544', '32749', '2011/11/04', null, 28, 73990, '029')
compras values (18111, '01517444', '32749', '2011/11/07', null, 28, 283100, '029')
compras values (30596, '01527167', '32749', '2011/11/24', null, 28, 578600, '029')
compras values (6267, '01504592', '32751', '2011/10/13', null, 28, 557300, '029')
compras values (9343, '01509726', '32751', '2011/10/24', null, 28, 1041930, '029')
compras values (12094, '01511845', '32751', '2011/10/27', null, 28, 239200, '029')
compras values (16036, '01515667', '32751', '2011/11/03', null, 28, 1691910, '029')
compras values (16690, '01516420', '32751', '2011/11/04', null, 28, 245870, '029')
compras values (18112, '01517239', '32751', '2011/11/07', null, 28, 141550, '029')
compras values (21152, '01519640', '32751', '2011/11/10', null, 28, 143070, '029')
compras values (30597, '01527068', '32751', '2011/11/24', null, 28, 459000, '029')
compras values (6307, '01505362', '32836', '2011/10/13', null, 10, 384000, '029')
compras values (6306, '01509141', '32836', '2011/10/21', null, 10, 350600, '029')
compras values (12102, '01512590', '32836', '2011/10/27', null, 10, 316800, '029')
compras values (16041, '01516258', '32836', '2011/11/03', null, 10, 376000, '029')
compras values (19122, '01518828', '32836', '2011/11/08', null, 10, 436290, '029')
compras values (23510, '01520823', '32836', '2011/11/11', null, 10, 439100, '029')
compras values (25661, '01523198', '32836', '2011/11/16', null, 10, 345600, '029')
compras values (27822, '01525690', '32836', '2011/11/21', null, 10, 399600, '029')
compras values (31550, '01528149', '32836', '2011/11/25', null, 10, 543670, '029')
compras values (33153, '01529983', '32836', '2011/11/29', null, 10, 384000, '029')
compras values (6410, '01504710', '33015', '2011/10/13', null, 10, 240950, '029')
compras values (12120, '01511969', '33015', '2011/10/27', null, 10, 501680, '029')
compras values (18133, '01517452', '33015', '2011/11/07', null, 10, 320480, '029')
compras values (6477, '01507410', '33159', '2011/10/18', null, 14, 215800, '029')
compras values (6476, '01507983', '33159', '2011/10/19', null, 14, 332300, '029')
compras values (16701, '01516799', '33159', '2011/11/04', null, 14, 290610, '029')
compras values (20057, '01519540', '33159', '2011/11/09', null, 14, 218820, '029')
compras values (6568, '01503544', '33334', '2011/10/11', null, 21, 1346380, '029')
compras values (9430, '01509887', '33335', '2011/10/24', null, 21, 651580, '029')
compras values (9429, '01510629', '33335', '2011/10/25', null, 21, 185550, '029')
compras values (6571, '01503563', '33336', '2011/10/11', null, 21, 154800, '029')
compras values (6570, '01504630', '33336', '2011/10/13', null, 21, 228900, '029')
compras values (6569, '01506805', '33336', '2011/10/18', null, 21, 754150, '029')
compras values (9431, '01510543', '33336', '2011/10/25', null, 21, 144960, '029')
compras values (19160, '01518193', '33336', '2011/11/08', null, 21, 399340, '029')
compras values (6574, '01506283', '33337', '2011/10/17', null, 21, 1637400, '029')
compras values (6573, '01506284', '33337', '2011/10/17', null, 20, 2291120, '029')
compras values (6572, '01506285', '33337', '2011/10/17', null, 20, 606340, '029')
compras values (9432, '01509890', '33337', '2011/10/24', null, 21, 2897800, '029')
compras values (14635, '01513380', '33337', '2011/10/31', null, 21, 2934200, '029')
compras values (18150, '01517453', '33337', '2011/11/07', null, 21, 318000, '029')
compras values (18149, '01517454', '33337', '2011/11/07', null, 21, 1726300, '029')
compras values (26887, '01524283', '33337', '2011/11/18', null, 21, 1102800, '029')
compras values (6603, '01505893', '33395', '2011/10/16', null, 10, 248000, '029')
compras values (6602, '01508175', '33395', '2011/10/20', null, 10, 486150, '029')
compras values (6601, '01509266', '33395', '2011/10/23', null, 10, 736000, '029')
compras values (12167, '01511956', '33395', '2011/10/27', null, 10, 520130, '029')
compras values (16076, '01515524', '33395', '2011/11/03', null, 10, 321240, '029')
compras values (19166, '01518258', '33395', '2011/11/08', null, 10, 458700, '029')
compras values (23590, '01522001', '33395', '2011/11/15', null, 10, 705410, '029')
compras values (25733, '01523443', '33395', '2011/11/17', null, 10, 476400, '029')
compras values (26892, '01524628', '33395', '2011/11/20', null, 10, 1265400, '029')
compras values (31573, '01527932', '33395', '2011/11/25', null, 10, 487560, '029')
compras values (33210, '01528778', '33395', '2011/11/28', null, 10, 181230, '029')
compras values (6669, '01503947', '33494', '2011/10/12', null, 10, 248140, '029')
compras values (14670, '01514923', '33494', '2011/11/02', null, 10, 255970, '029')
compras values (25753, '01522686', '33494', '2011/11/16', null, 10, 222350, '029')
compras values (31580, '01528261', '33494', '2011/11/27', null, 10, 117000, '029')
compras values (7111, '01504767', '34072', '2011/10/13', null, 28, 1022630, '029')
compras values (12280, '01512046', '34072', '2011/10/27', null, 28, 119600, '029')
compras values (16151, '01515576', '34072', '2011/11/03', null, 28, 1171170, '029')
compras values (30690, '01527205', '34072', '2011/11/24', null, 28, 546600, '029')
compras values (7252, '01502817', '34302', '2011/10/10', null, 10, 456620, '029')
compras values (7251, '01505636', '34302', '2011/10/14', null, 10, 485520, '029')
compras values (16171, '01515548', '34302', '2011/11/03', null, 10, 805250, '029')
compras values (7296, '01506741', '34361', '2011/10/18', null, 10, 201650, '029')
compras values (7295, '01508892', '34361', '2011/10/21', null, 10, -800, '029')
compras values (7294, '01509218', '34361', '2011/10/23', null, 10, 406840, '029')
compras values (10469, '01511211', '34361', '2011/10/26', null, 10, 322530, '029')
compras values (14875, '01513403', '34361', '2011/10/31', null, 10, 797780, '029')
compras values (33354, '01528632', '34361', '2011/11/28', null, 10, 103600, '029')
compras values (7526, '01504712', '34686', '2011/10/13', null, 14, 372840, '029')
compras values (7525, '01505571', '34686', '2011/10/14', null, 14, 291690, '029')
compras values (7524, '01508921', '34686', '2011/10/21', null, 14, 506840, '029')
compras values (14948, '01513375', '34686', '2011/10/31', null, 14, 2396810, '029')
compras values (12437, '01511980', '35005', '2011/10/27', null, 7, 71960, '029')
compras values (16766, '01515533', '35027', '2011/11/03', null, 10, 265370, '029')
compras values (27004, '01524633', '35027', '2011/11/20', null, 10, 212400, '029')
receber values(11336, '00124', '01510441', '2011/10/24', '2011/11/07', 383180, 383180, 0, 'NF', 'KXH4906', 'B', null, '029')
receber values(28070, '00124', '01525686', '2011/11/21', '2011/12/05', 762680, 762680, 0, 'NF', 'LSX0479', 'B', null, '029')
receber values(34006, '00124', '01529274', '2011/11/28', '2011/12/12', 344640, 344640, 0, 'NF', 'LSX0479', 'T', null, '029')
receber values(16278, '00508', '01514767', '2011/11/02', '2011/11/16', 209310, 209310, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(21836, '00508', '01517118', '2011/11/06', '2011/11/20', 101100, 101100, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(28071, '00508', '01525594', '2011/11/21', '2011/12/05', 191230, 191230, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(28072, '00508', '01526256', '2011/11/22', '2011/12/06', 587160, 587160, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(32156, '00508', '01527065', '2011/11/24', '2011/12/08', 209800, 209800, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(6403, '01201', '01505227', '2011/10/13', '2011/11/03', 1897530, 1897530, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(6404, '01201', '01507337', '2011/10/18', '2011/11/08', 509080, 509080, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(6405, '01201', '01508742', '2011/10/20', '2011/11/10', 954520, 954520, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(16279, '01201', '01515269', '2011/11/02', '2011/11/23', 248800, 248800, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(21837, '01201', '01516124', '2011/11/03', '2011/11/24', 674530, 674530, 0, 'NF', 'LJN6251', 'B', null, '029')
receber values(21838, '01201', '01518705', '2011/11/08', '2011/11/29', 1017860, 1017860, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(28073, '01201', '01523147', '2011/11/16', '2011/12/07', 629500, 629500, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(31243, '01201', '01526987', '2011/11/23', '2011/12/14', 374360, 374360, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(28074, '01219', '01524079', '2011/11/17', '2011/11/24', 634400, 634400, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(6406, '02176', '01506292', '2011/10/17', '2011/10/27', 600320, 600320, 0, 'NF', 'LUP0560', 'B', null, '029')
receber values(16280, '02176', '01513471', '2011/10/31', '2011/11/10', 649040, 649040, 0, 'NF', 'CXV9668', 'T', null, '029')
receber values(21839, '02176', '01521584', '2011/11/14', '2011/11/24', 811910, 811910, 0, 'NF', 'LUP0560', 'B', null, '029')
receber values(6407, '02528', '01506291', '2011/10/17', '2011/10/27', 563200, 563200, 0, 'NF', 'LUP0560', 'B', null, '029')
receber values(11337, '02528', '01509902', '2011/10/24', '2011/11/03', 532860, 532860, 0, 'NF', 'LUP0560', 'B', null, '029')
receber values(21840, '02528', '01517481', '2011/11/07', '2011/11/17', 486560, 486560, 0, 'NF', 'KCC1472', 'B', null, '029')
receber values(21841, '02528', '01521583', '2011/11/14', '2011/11/24', 382740, 382740, 0, 'NF', 'LUP0560', 'B', null, '029')
receber values(28075, '02528', '01525097', '2011/11/21', '2011/12/01', 490550, 490550, 0, 'NF', 'LRA0472', 'T', null, '029')
receber values(34007, '02528', '01528785', '2011/11/28', '2011/12/08', 367610, 367610, 0, 'NF', 'CXV9668', 'T', null, '029')
receber values(11338, '02602', '01511148', '2011/10/25', '2011/11/04', 399400, 409390, 9990, 'NF', 'LCP3836', 'B', null, '029')
receber values(11339, '02604', '01509903', '2011/10/24', '2011/11/03', 211600, 211600, 0, 'NF', 'LUP0560', 'B', null, '029')
receber values(16281, '02604', '01514597', '2011/11/01', '2011/11/11', 429630, 429630, 0, 'NF', 'CXV9668', 'B', null, '029')
receber values(28076, '02604', '01525098', '2011/11/21', '2011/12/01', 317200, 317200, 0, 'NF', 'LRA0472', 'T', null, '029')
receber values(1443, '02609', '01491322', '2011/09/19', '2011/09/24', 389720, 448180, 58460, 'NF', 'LUP0560', 'B', null, '029')
receber values(11340, '02609', '01510607', '2011/10/25', '2011/10/30', 279000, 284580, 5580, 'NF', 'KMM5715', 'B', null, '029')
receber values(16282, '02609', '01513470', '2011/10/31', '2011/11/05', 323140, 329600, 6460, 'NF', 'CXV9668', 'B', null, '029')
receber values(18897, '02609', '01517480', '2011/11/07', '2011/11/12', 319460, 329040, 9580, 'NF', 'KCC1472', 'B', null, '029')
receber values(21842, '02609', '01521582', '2011/11/14', '2011/11/19', 416850, 423100, 6250, 'NF', 'LUP0560', 'B', null, '029')
receber values(28077, '02609', '01525096', '2011/11/21', '2011/11/26', 429970, 429970, 0, 'NF', 'LRA0472', 'T', null, '029')
receber values(34008, '02609', '01528784', '2011/11/28', '2011/12/03', 535210, 535210, 0, 'NF', 'CXV9668', 'T', null, '029')
receber values(34942, '02609', '01529500', '2011/11/29', '2011/12/04', 71820, 71820, 0, 'NF', 'KCC1472', 'T', null, '029')
receber values(35866, '02609', '01530123', '2011/11/30', '2011/12/05', 164980, 164980, 0, 'NF', 'KCC1472', 'T', null, '029')
receber values(6408, '02611', '01507628', '2011/10/19', '2011/11/02', 153260, 154030, 770, 'NF', 'KMM5715', 'B', null, '029')
receber values(11341, '02611', '01509904', '2011/10/24', '2011/11/07', 216880, 216880, 0, 'NF', 'LUP0560', 'B', null, '029')
receber values(21843, '02611', '01515546', '2011/11/03', '2011/11/17', 130660, 130660, 0, 'NF', 'CXV9668', 'B', null, '029')
receber values(21844, '02611', '01517479', '2011/11/07', '2011/11/21', 191180, 191180, 0, 'NF', 'KCC1472', 'B', null, '029')
receber values(28078, '02611', '01525099', '2011/11/21', '2011/12/05', 190270, 190270, 0, 'NF', 'LRA0472', 'T', null, '029')
receber values(34009, '02611', '01528786', '2011/11/28', '2011/12/12', 225400, 225400, 0, 'NF', 'CXV9668', 'T', null, '029')
receber values(6409, '03884', '01505758', '2011/10/14', '2011/10/28', 148050, 148050, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(6410, '03884', '01508842', '2011/10/20', '2011/11/03', 557800, 557800, 0, 'NF', 'LGY8427', 'B', null, '029')
receber values(16283, '03884', '01515264', '2011/11/02', '2011/11/16', 405800, 405800, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(21845, '03884', '01520810', '2011/11/11', '2011/11/25', 607570, 607570, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(28079, '03884', '01524015', '2011/11/17', '2011/12/01', 629500, 629500, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(32157, '03884', '01527783', '2011/11/24', '2011/12/08', 650260, 650260, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(6411, '04195', '01501471', '2011/10/06', '2011/10/25', 379280, 379280, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(18898, '04195', '01516115', '2011/11/03', '2011/11/13', 562830, 571270, 8440, 'NF', 'LJN6251', 'B', null, '029')
receber values(21846, '04195', '01521735', '2011/11/14', '2011/11/24', 248870, 248870, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(28080, '04195', '01523137', '2011/11/16', '2011/11/26', 679950, 679950, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(31244, '04195', '01526981', '2011/11/23', '2011/12/03', 221280, 221280, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(33195, '04195', '01528155', '2011/11/25', '2011/12/05', 227420, 227420, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(1444, '04750', '01497742', '2011/09/29', '2011/10/12', 524320, 561020, 36700, 'NF', 'LCP3836', 'B', null, '029')
receber values(1445, '04750', '01497743', '2011/09/29', '2011/10/13', 618200, 658380, 40180, 'NF', 'LCP3836', 'B', null, '029')
receber values(1446, '04750', '01501635', '2011/10/06', '2011/10/19', 898800, 966210, 67410, 'NF', 'LCP3836', 'B', null, '029')
receber values(1447, '04750', '01501636', '2011/10/06', '2011/10/20', 781400, 836100, 54700, 'NF', 'LCP3836', 'B', null, '029')
receber values(1448, '04750', '01503436', '2011/10/10', '2011/10/23', 834380, 880270, 45890, 'NF', 'LGY8427', 'B', null, '029')
receber values(6412, '04750', '01503437', '2011/10/10', '2011/10/24', 854800, 923180, 68380, 'NF', 'LGY8427', 'B', null, '029')
receber values(6413, '04750', '01505388', '2011/10/13', '2011/10/26', 973300, 1041430, 68130, 'NF', 'LCP3836', 'B', null, '029')
receber values(6414, '04750', '01505389', '2011/10/13', '2011/10/27', 1016820, 1082910, 66090, 'NF', 'LCP3836', 'B', null, '029')
receber values(6415, '04750', '01507436', '2011/10/18', '2011/10/31', 1061090, 1108840, 47750, 'NF', 'LCP3836', 'B', null, '029')
receber values(6416, '04750', '01507437', '2011/10/18', '2011/11/01', 832950, 866270, 33320, 'NF', 'LCP3836', 'B', null, '029')
receber values(11342, '04750', '01510420', '2011/10/24', '2011/11/06', 901070, 914590, 13520, 'NF', 'LCP3836', 'B', null, '029')
receber values(11343, '04750', '01510421', '2011/10/24', '2011/11/07', 940410, 949810, 9400, 'NF', 'LCP3836', 'B', null, '029')
receber values(12848, '04750', '01511765', '2011/10/26', '2011/11/08', 961600, 966410, 4810, 'NF', 'LCP3836', 'B', null, '029')
receber values(12849, '04750', '01511766', '2011/10/26', '2011/11/09', 1024830, 1029950, 5120, 'NF', 'LCP3836', 'T', null, '029')
receber values(21847, '04750', '01516278', '2011/11/03', '2011/11/16', 799100, 823070, 23970, 'NF', 'LCP3836', 'T', null, '029')
receber values(21848, '04750', '01516279', '2011/11/03', '2011/11/17', 810400, 830660, 20260, 'NF', 'LCP3836', 'T', null, '029')
receber values(21849, '04750', '01516755', '2011/11/04', '2011/11/18', 1029500, 1050090, 20590, 'NF', 'LCP3836', 'T', null, '029')
receber values(21850, '04750', '01520426', '2011/11/10', '2011/11/21', 728300, 731940, 3640, 'NF', 'LGY8427', 'T', null, '029')
receber values(21851, '04750', '01520427', '2011/11/10', '2011/11/23', 923230, 923230, 0, 'NF', 'LGY8427', 'T', null, '029')
receber values(21852, '04750', '01520428', '2011/11/10', '2011/11/24', 847100, 847100, 0, 'NF', 'LGY8427', 'T', null, '029')
